id	tc_text	en_text	status
453	調整使用的音效頻道數。較高階的設定需要有更高階的 CPU。	Adjust the number of sound channels used. Increased settings require a faster CPU.	different
454	調整環繞音量。	Adjust ambient volume.	different
455	調整特效音量。	Adjust effects volume.	different
456	調整音樂音量。	Adjust music volume.	different
457	調整語音音量。	Adjust voice volume.	different
458	測試環境音量	Test ambient volume.	different
459	測試特效音量	Test effects volume.	different
460	測試語音音量	Test voice volume.	different
500	流血顯示	Blood	different
501	移動速度	Scroll Rate	different
502	逆向操作	Inverse Pan	different
503	逆向攝影機	Inverse Declination	different
550	開啟或關閉流血顯示。	Turn blood on or off.	different
551	為螢幕邊緣的視野調整捲動速度	Adjust the scroll rate for edge of screen panning.	different
552	逆向滑鼠拖曳操作	Invert mouse drag pan direction.	different
553	逆向攝影機操作	Invert camera declination.	different
1499			same
1500	電腦 %1NUMBER%	Computer %1NUMBER%	different
1550	記錄遊戲 %1SCENARIO% %2DATE% %3TIME%	Record game %1SCENARIO% %2DATE% %3TIME%	different
1580	載入錯誤的存檔。	Error loading saved game.	different
1581	載入存檔時發生未知的錯誤。	Unknown error loading saved game.	different
1582	"遺失戰場場景 ""%1SCENARIO%""。"	"Missing scenario ""%1SCENARIO%""."	different
1585	這個檔案不是有效的存檔。	The file is not a valid saved game.	different
1586	這個存檔是舊的檔案。	This saved game is obsolete.	different
1675	錯誤	Error	different
1676	初始化顯示卡失敗	Failed to initialize video card.	different
1677	初始化音效卡失敗	Failed to initialize sound card.	different
1678	實體記憶體不足無法執行遊戲。你的系統必須至少有 256MB 的 RAM。	Not enough physical memory to run the game. Your system must have at least 256MB of RAM.	different
1679	虛擬記憶體不足無法執行遊戲。你系統的所有頁碼檔案必須超過 384MB。請參閱你的 OS 附屬手冊。	Not enough virtual memory to run the game. Your system total paging files must be at least 384MB. Please consult the manual that came with your OS.	different
1680	%1BRIEFING_FACT%	%1BRIEFING_FACT%	same
1681	%1PLAYERNAME%	%1PLAYERNAME%	same
1682	---	---	same
1683	檔案不存在!請建立檔案後再繼續。	No profiles exist! Please create a profile before proceeding.	different
1684	未選擇檔案!請選擇檔案後再繼續。	No profile selected! Please select a profile before proceeding.	different
1685	玩家檔案	Player Profiles	different
1690	執行帝皇的旨意	Enforce the will of the Emperor	different
1691	給偉大戰士的真正挑戰	A true challenge for a mighty warrior	different
1692	唯有擁有堅定意志的人能夠獲勝	Only those with the strongest will can prevail	different
1700	以觀察者身分加入	Join as Observer	different
1701	這會讓你以觀察者身分加入遊戲。	This will allow you to attempt to join the selected game as an observer.	different
1702	你不能以觀察者的身分加入這個遊戲，因為主機伺服器未建立觀察者位置，或觀察者位置已滿。	You could not join this game as an observer, the host has not created any observer slots or all of the observer slots are full.	different
1703	觀察者	Observer	different
1704	觀察者位置	Observer Slot	different
1705	遊戲中觀察者人數	Number of observers in game	different
1706	你的顯示卡不支援。為了執行 破曉之戰 你必須有具備硬體轉換與光源支援功能的顯示卡。	Your video card is not supported. In order to run Dawn of War you must have a Hardware Transform & Lighting-enabled video card.	different
1750	遊戲暫停	Game Paused	different
1751	你已經被擊敗了。	You have been defeated.	different
1752	遊戲重播	Playback	different
1753	重播結束。	Playback over.	different
1754	重大損害錯誤－執行過程暫停	Fatal Scar Error - Execution Paused	different
1755	衝突－偵查到錯誤	Sync-error detected	different
1756	資料衝突－偵察到錯誤－遊戲資訊不相符	Data-Sync-error detected - Game data does not match	different
1757	重大 AI 錯誤－AI 執行暫停	Fatal AI Error - AI Execution Paused	different
1758	由於嚴重的延遲而移除遊戲	Kicked-out due to extreme lag	different
1760	%1PLAYERNAME% 已被強制退出遊戲。	%1PLAYERNAME% has been kicked-out of the game.	different
1761	因為遊戲造成的延遲，你已被強制退出本遊戲。	You have been kicked out of the game due to lag.	different
1762	警告，服務器已經檢測到一個“失去同步”錯誤	"Warning, the server has detected an ""Out-Of-Sync"" Error"	different
1763	請重新啟動遊戲。	Please restart your game.	different
1780	退出遊戲	Exit Game	different
1781	您是否要離開 戰槌40000:破曉之戰,並回到作業系統?	Do you wish to exit Warhammer 40,000: Dawn of War and return to Windows?	different
1785	中止	Abort	different
1786	你要中止此戰場場景嗎？	Do you wish to abort this scenario?	different
1790	重新開始	Restart	different
1791	要重開戰場場景嗎？	Do you wish to restart this scenario?	different
1800	[%1PLAYERNAME%]: %2CHATMESSAGE%	[%1PLAYERNAME%]: %2CHATMESSAGE%	same
1801	[悄悄話來自於 %1PLAYERNAME%]： %2CHATMESSAGE%	[Whisper from %1PLAYERNAME%]: %2CHATMESSAGE%	different
1802	[盟友訊息來自於 %1PLAYERNAME%]： %2CHATMESSAGE%	[Ally message from %1PLAYERNAME%]: %2CHATMESSAGE%	different
1805	傳訊給所有人：	To all:	different
1806	傳訊給盟友：	To allies:	different
1807	[SYSTEM]: %1CHATMESSAGE%	[SYSTEM]: %1CHATMESSAGE%	same
1820	載入遊戲時發生錯誤。	An error occured while loading the game.	different
1821	網路連結遺失。	The network connection was lost.	different
1822	與線上服務的連結已經關閉。可能因為載入過久致使 GameSpy 斷線，請嘗試降低你的材質細節。也或者是有人使用了你的產品識別碼。	The connection with the online service was closed. Loading may have taken too long and caused GameSpy to disconnect, try reducing your texture detail. Alternatively, someone else may have used your cd key.	different
1823	載入遊戲時發生衝突錯誤。	A sync error occured while loading.	different
1824	載入已儲存遊戲失敗。檔案格式不支援或資料已經損毀。	Failed to load saved game. The file is format is not supported or the data is corrupt.	different
1850	%1ENGINE% %2ENGINEVERSION%, %3MOD% %4MODVERSION%	%1ENGINE% %2ENGINEVERSION%, %3MOD% %4MODVERSION%	same
1851	引擎	Engine	different
1852	創造 %1BUILDNUMBER%	Build %1BUILDNUMBER%	different
1853	破曉之戰引擎	DOW Engine	different
1860	等待其他玩家中...	Waiting for other players...	different
1861	讀取中,請稍候….	Loading, please wait...	different
1900	請等待 %1LAGTIME% 秒	Waiting for %1LAGTIME% seconds	different
1901	表決: %1VOTESCURRENT%	Votes: %1VOTESCURRENT%	different
1907	此勝利條件 '%1CONDITION%' 是唯一的, 請不要選擇其他的勝利條件!	The victory condition '%1CONDITION%' is exclusive, please unselect any other victory conditions!	different
1908	警告：	Warning:	different
1909	發生錯誤	An error occurred	different
1910	未選擇勝利條件	No Win Conditions have been set!	different
1911	無效的戰場場景	Invalid Scenario	different
1912	最大玩家數不能為 0	maximum players cannot be 0	different
1913	FFA 不能在自動隊伍中啟動	FFA cannot be active with Auto Teams	different
1914	自動隊伍的隊伍數不得少於 2	Auto Teams cannot have number of teams set below 2	different
1915	無效的玩家類型	Bad Player type	different
1916	非網路遊戲不得有遠端玩家	Non-networked game should not have remote players	different
1917	單一玩家沒有種族設定	A player does not have a race set	different
1918	單一玩家沒有名稱	A player does not have a name	different
1919	隊伍中有太多玩家	A team has too many players	different
1920	並非所有玩家都準備完畢	Not all players are ready	different
1921	本機玩家不得多於一名	Cannot have more than 1 local player	different
1922	至少要有一名本機玩家	Must have at least 1 local player	different
1923	至少要有兩名不同玩家	Must have at least 2 different players	different
1924	只少要有兩個不同的隊伍	Must have at least 2 different teams	different
1925	未設定勝利條件	No game rules have been set!	different
1926	發現無效的遊戲選項	Invalid game option found	different
1927	發現無效的種族	Invalid race found	different
1928	網路遊戲至少需要一名遠端玩家	Must have at least one remote player for a Network game	different
1929	在自動隊伍模式下，不能關閉玩家位置。	Can't have closed player slots with auto/random teams selected.	different
1930	遊戲結束	Game Over	different
1931	%1WIN_LOSE_MESSAGE%  是否要環顧地圖？ 按一下 [否] 繼續。	%1WIN_LOSE_MESSAGE% Would you like to look around the map before continuing?	different
1932	你已經退出這個遊戲!是否要環顧地圖？ 按一下 [否] 繼續。	You have been dropped from the game! Would you like to look around the map before continuing?	different
1933	遊戲重播已結束!是否要環顧地圖？按一下 [否] 繼續。	Playback has finished! Would you like to look around the map before continuing?	different
1934	偵查到衝突錯誤!是否要環顧地圖？按一下 [否] 繼續。	Sync Error Detected! Would you like to look around the map before continuing?	different
1935	你已遭到殺害!是否要環顧地圖？按一下 [否] 繼續。	You have been killed! Would you like to look around the map before continuing?	different
1936	任務成功! 是否要進入下一關？若按下 [否]將會返回主畫面。	"Mission Success! Would you like to proceed to the next mission? Otherwise click ""No"" to go back to the main menu."	different
1937	任務失敗!是否要重新開始？按一下 [否] 回到主選單。	"Mission Failure! Would you like to restart ? Otherwise, click ""No"" to continue."	different
1938	由於嚴重的延遲而移除遊戲,你想要環顧戰場嗎?或是按 [否] 繼續.	You have been dropped from the game for extreme lag! Would you like to look around the map before continuing?	different
1939	你必須選擇至少一個勝利條件!	You must select at least one game rule that has a victory condition!	different
1950	儲存遊戲失敗	Failed to Save Game	different
1951	儲存已記錄遊戲失敗。請確定你有足夠的硬碟空間。	Failed to save Recorded Game. Make sure you have sufficient disk space.	different
1952	儲存遊戲失敗。請確定你有足夠的硬碟空間。	Failed to save game. Make sure you have sufficient disk space.	different
1970	Warhammer 40,000: Dawn of War - Definitive Edition © Copyright Games Workshop Limited 2004-2025. Dawn of War, the Dawn of War logo, GW, Games Workshop, Space Marine, 40K, Warhammer, Warhammer 40,000, 40,000, the ‘Aquila’ Double-headed Eagle logo, Winter Assault, Dark Crusade, Soulstorm, and all associated logos, illustrations, images, names, creatures, races, vehicles, locations, weapons, characters, and the distinctive likeness thereof, are either ® or TM, and/or © Games Workshop Limited, variably registered around the world, and used under license. Developed by Relic Entertainment. Relic Entertainment and the Relic Entertainment logo are either registered trademarks or trademarks of Relic Holdings Co., Ltd or its affiliates. All rights reserved. All other trademarks, logos and copyrights are the property of their respective owners. 	Warhammer 40,000: Dawn of War - Definitive Edition © Copyright Games Workshop Limited 2004-2025. Dawn of War, the Dawn of War logo, GW, Games Workshop, Space Marine, 40K, Warhammer, Warhammer 40,000, 40,000, the ‘Aquila’ Double-headed Eagle logo, Winter Assault, Dark Crusade, Soulstorm, and all associated logos, illustrations, images, names, creatures, races, vehicles, locations, weapons, characters, and the distinctive likeness thereof, are either ® or TM, and/or © Games Workshop Limited, variably registered around the world, and used under license. Developed by Relic Entertainment. Relic Entertainment and the Relic Entertainment logo are either registered trademarks or trademarks of Relic Holdings Co., Ltd or its affiliates. All rights reserved. All other trademarks, logos and copyrights are the property of their respective owners. 	same
1971	Warhammer 40,000: Dawn of War - Definitive Edition © Copyright Games Workshop Limited 2004-2025. Dawn of War, the Dawn of War logo, GW, Games Workshop, Space Marine, 40K, Warhammer, Warhammer 40,000, 40,000, the ‘Aquila’ Double-headed Eagle logo, Winter Assault, Dark Crusade, Soulstorm, and all associated logos, illustrations, images, names, creatures, races, vehicles, locations, weapons, characters, and the distinctive likeness thereof, are either ® or TM, and/or © Games Workshop Limited, variably registered around the world, and used under license. Developed by Relic Entertainment. Relic Entertainment and the Relic Entertainment logo are either registered trademarks or trademarks of Relic Holdings Co., Ltd or its affiliates. All rights reserved. All other trademarks, logos and copyrights are the property of their respective owners. 	Warhammer 40,000: Dawn of War - Definitive Edition © Copyright Games Workshop Limited 2004-2025. Dawn of War, the Dawn of War logo, GW, Games Workshop, Space Marine, 40K, Warhammer, Warhammer 40,000, 40,000, the ‘Aquila’ Double-headed Eagle logo, Winter Assault, Dark Crusade, Soulstorm, and all associated logos, illustrations, images, names, creatures, races, vehicles, locations, weapons, characters, and the distinctive likeness thereof, are either ® or TM, and/or © Games Workshop Limited, variably registered around the world, and used under license. Developed by Relic Entertainment. Relic Entertainment and the Relic Entertainment logo are either registered trademarks or trademarks of Relic Holdings Co., Ltd or its affiliates. All rights reserved. All other trademarks, logos and copyrights are the property of their respective owners. 	same
1972	Warhammer 40,000: Dawn of War - Definitive Edition © Copyright Games Workshop Limited 2004-2025. Dawn of War, the Dawn of War logo, GW, Games Workshop, Space Marine, 40K, Warhammer, Warhammer 40,000, 40,000, the ‘Aquila’ Double-headed Eagle logo, Winter Assault, Dark Crusade, Soulstorm, and all associated logos, illustrations, images, names, creatures, races, vehicles, locations, weapons, characters, and the distinctive likeness thereof, are either ® or TM, and/or © Games Workshop Limited, variably registered around the world, and used under license. Developed by Relic Entertainment. Relic Entertainment and the Relic Entertainment logo are either registered trademarks or trademarks of Relic Holdings Co., Ltd or its affiliates. All rights reserved. All other trademarks, logos and copyrights are the property of their respective owners. 	Warhammer 40,000: Dawn of War - Definitive Edition © Copyright Games Workshop Limited 2004-2025. Dawn of War, the Dawn of War logo, GW, Games Workshop, Space Marine, 40K, Warhammer, Warhammer 40,000, 40,000, the ‘Aquila’ Double-headed Eagle logo, Winter Assault, Dark Crusade, Soulstorm, and all associated logos, illustrations, images, names, creatures, races, vehicles, locations, weapons, characters, and the distinctive likeness thereof, are either ® or TM, and/or © Games Workshop Limited, variably registered around the world, and used under license. Developed by Relic Entertainment. Relic Entertainment and the Relic Entertainment logo are either registered trademarks or trademarks of Relic Holdings Co., Ltd or its affiliates. All rights reserved. All other trademarks, logos and copyrights are the property of their respective owners. 	same
2500	確定	OK	different
2501	確定接受	ACCEPT	different
2502	取消	CANCEL	different
2503	還原隊伍代表色	Restore Scheme	different
2504	刪除隊伍代表色	Delete Scheme	different
2525	悄悄話	whisper	different
2526	w	w	same
2527	訊息	msg	different
2528	m	m	same
2529	廣播	broadcast	different
2530	b	b	same
2531	隊伍	team	different
2532	t	t	same
2533	說明	help	different
2534	h	h	same
2535	?	?	same
2550	這並不是有效的指令。輸入 /help 尋找更多資訊。	That is not a valid command. Type /help for more info.	different
2551	有效指令：	Available Commands:	different
2552	你要傳訊給誰？	Who do you want to send the message to?	different
2553	你要說些什麼？	What do you want to say?	different
2554	你要說些什麼？	What do you want to say?	different
2555	你要說些什麼？	What do you want to say?	different
2556	未被確認的指令。輸入 /help 尋找更多資訊。	Unrecognized command. Type /help for more info.	different
2557	/whisper 使用者名稱 訊息	/whisper USERNAME MESSAGE	different
2558	傳送私人訊息給使用者名稱	Sends a private MESSAGE to USERNAME.	different
2559	/team 訊息。	/team MESSAGE.	different
2560	傳送私人訊息給你隊伍中的所有人。	Sends a private MESSAGE to all players in your team.	different
2561	/broadcast 訊息。	/broadcast MESSAGE.	different
2562	傳送訊息給你進入場地的所有玩家。	Sends a MESSAGE to all players in the room you're in.	different
2563	輸入 /help 指令可知道特定指令的涵義。	Type /help COMMAND for information about a specific command.	different
2600	一般	Normal	different
2601	困難	Hard	different
2602	瘋狂	Insane	different
3000	多人模式	Multiplayer	different
3001	創造	Build	different
3002	小戰鬥	Skirmish	different
3003	小隊噴漆圖案	Army Painter	different
3004	選項	Options	different
3005	退出	Quit	different
3006	戰役	Campaign	different
3007	玩一個教學關卡遊戲	Play a Tutorial Game	different
3008	檔案名稱	Profile Name	different
3009	燒死異教徒。	BURN THE HERETIC.	different
3010	帝皇已經知道，且在監看中。	The Emperor knows, the Emperor is watching.	different
3011	玩 CPU 設置的小戰鬥。	Play a CPU Skirmish.	different
3012	進行線上多人遊戲。	Play an Online Multiplayer Game.	different
3013	自訂多人軍隊。	Customize your Multiplayer Army.	different
3014	設置《破曉之戰》。 	Configure Dawn of War. 	different
3015	離開《破曉之戰》。 	Exit Dawn of War. 	different
3016	教學關卡	Tutorial	different
3017	戰槌40000: 破曉之戰	Warhammer 40,000: Dawn of War	different
3018	破曉之戰	Dawn of War	different
3019	破曉之戰	Dawn of War	different
3020	破曉之戰	Dawn of War	different
3021	破曉之戰選單	Dawn of War Menu	different
3022	製作群	Credits	different
3023	按一下更改目前玩家的檔案	Click to change the current Player Profile	different
3024	殺戮變種人。	KILL THE MUTANT.	different
3025	淨化污穢。	PURGE THE UNCLEAN.	different
3026	戰槌40000版本資訊	Warhammer 40K Version Information	different
3027	檢視《破曉之戰》製作團隊。 	View the Dawn of War credits. 	different
3028	玩單人模式戰役	Play a Single Player Campaign.	different
3029	模組	Mods	different
3030	切換有效的模組	Switch the active Mod.	different
3031	破曉之戰	Dawn of War	different
3100	----------------------------------------------------------------------	----------------------------------------------------------------------	same
3101	HACK - These strings were manually hacked in specifically for the	HACK - These strings were manually hacked in specifically for the	same
3102	(English only) demo.  The UIEditor crashes if strings are added	(English only) demo.  The UIEditor crashes if strings are added	same
3103	Anywhere outside the LocalRange dictated by the .screen file.	Anywhere outside the LocalRange dictated by the .screen file.	same
3104	----------------------------------------------------------------------	----------------------------------------------------------------------	same
3105	Battle One	Battle One	same
3106	Play a skirmish game.	Play a skirmish game.	same
3107	Battle Two	Battle Two	same
3108	Play a custom campaign mission.	Play a custom campaign mission.	same
3150	----------------------------------------------------------------------	----------------------------------------------------------------------	same
3151	END HACK	END HACK	same
3152	----------------------------------------------------------------------	----------------------------------------------------------------------	same
3250	點選「確定」以接受。	Click OK to accept.	different
3251	-	-	same
3253	點選「取消」以返回前一個畫面。	Click Cancel to return to the previous screen.	different
3256	主題	Title	different
3257	訊息	Message	different
3259	取消	Cancel	different
3260	確定	Ok	different
3500	返回主選單。	Back to the Main Menu.	different
3501	進入任務	Play Mission	different
3502	載入儲存的遊戲 	Load Saved Game 	different
3503	密技	Cheat	different
3504	以最新儲存的遊戲紀錄繼續進行選定的戰役。	Continue the Selected Campaign from the most recent save game.	different
3505	選擇難度。	Choose a Difficulty.	different
3506	希望是不幸的開端。	Hope is the beginning of unhappiness.	different
3507	選擇戰役。	Choose a Campaign.	different
3508	選擇任務。	Choose a Mission to Play.	different
3509	進入選定的任務。	Start the Selected Mission.	different
3510	載入已儲存的遊戲。	Load a Saved Game.	different
3511	進入選定的戰役。	Start the Selected Campaign.	different
3512	喔喔,不可以使用密技!!	Ah. Ah. Ah! No Cheating!!	different
3513	開始戰役	Start Campaign	different
3514	繼續戰役	Continue Campaign	different
3515	難度	Difficulty	different
3516	返回	Back	different
3517	劇情	ORDER	different
3518	無劇情	DISORDER	different
3519	繼續戰役	Continue Campaign	different
3520	密技	Cheat	different
3521	密技	Cheat	different
3522	請選擇任務	Select Mission	different
3523	開始所選擇的戰役	Select an Available Mission.	different
3524	讀取遊戲進度	Load a Saved Game.	different
3525	載入儲存的遊戲 	Load Saved Game 	different
3526	遊玩劇情戰役	Play Order Campaign.	different
3527	繼續戰役	Continue the Campaign.	different
3528	繼續戰役	Continue Campaign	different
3529	請選擇任務	Select Mission	different
3530	載入儲存的遊戲 	Load Saved Game 	different
3531	讀取遊戲進度	Load a Saved Game.	different
3532	開始所選擇的戰役	Select an Available Mission.	different
3533	繼續戰役	Continue Campaign	different
3534	遊玩非劇情戰役	Play Disorder Campaign.	different
3535	密技	Cheat	different
3536	開始戰役	Start Campaign	different
3537	開始所選擇的戰役	Start the Selected Campaign.	different
3538	讀取遊戲進度	Load a Saved Game.	different
3539	載入儲存的遊戲 	Load Saved Game 	different
3540	返回	Back	different
3541	返回前一步	Back to Previous.	different
3542	哈哈,不可以使用密技!!	Ah, ah, ah! No Cheating!	different
3543	請選擇戰役	Choose a Campaign.	different
3544	無劇情	Disorder	different
3545	密技	Cheat	different
3546	返回	Back	different
3547	密技	Cheat	different
3548	繼續戰役	Continue the Campaign	different
3549	返回線上大廳系統	Back	different
3550	Back to the Main Menu	Back to the Main Menu	same
3551	Back to the Main Menu	Back to the Main Menu	same
3552	Start the selected Campaign	Start the selected Campaign	same
3750	回到作業系統	Quit to Windows.	different
3751	回到前一個畫面	Return to the previous screen.	different
3752	死神是正義的僕人。	Death is the servant of the righteous.	different
3755	你確定要離開嗎?	Are you sure you want to quit?	different
3756	接受	Accept!	different
3757	取消	Cancel	different
3758	懦夫將會羞愧而死。	COWARDS DIE IN SHAME	different
4000	確定	OK	different
4001	輸入密碼	ENTER PASSWORD	different
4002	輸入下列密碼。	Enter the password below.	different
4003	取消	Cancel	different
4004	密碼：	Password:	different
4005	輸入遊戲密碼。	Enter the password for the game.	different
4006	移至下一個畫面。	Go to the next screen.	different
4007	移至上一個畫面。	Go to the previous screen.	different
4500	更改地圖	Change Map	different
4501	開始遊戲	Start Game	different
4502	返回	Back	different
4503	接受!	Accept!	different
4504	玩家清單	Players List	different
4505	準備完畢	Ready	different
4506	開戰!	Boot!	different
4507	4793 No Key	4793 No Key	same
4508	觀戰者.	The Observer.	different
4509	小隊噴漆圖案	Army Painter	different
4510	玩家名稱	PlayerName	different
4511	種族名稱	RaceName	different
4512	隊伍代表色	ColorScheme	different
4513	隊伍	Team	different
4514	最大玩家數量：	Max Players:	different
4515	地圖大小：	Map Size:	different
4516	最大遊戲	max play	different
4517	尺寸	size	different
4518	Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s.	Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s.	same
4519	地圖名稱在此	Map Name Here	different
4520	選擇名稱	Option name	different
4521	選擇名稱	Option name	different
4522	選擇名稱	Option name	different
4523	選擇名稱	Option name	different
4524	選擇名稱	Option name	different
4525	選擇名稱	Option name	different
4526	選擇名稱	Option name	different
4527	(隊伍模式標籤)	(Team Mode Label)	different
4528	勝利條件	Game rules	different
4529	選擇名稱	Option name	different
4530	選擇名稱	Option name	different
4531	選擇名稱	Option name	different
4532	選擇名稱	Option name	different
4533	選擇名稱	Option name	different
4534	選擇名稱	Option name	different
4535	玩家可改變隊伍模式為玩家設定隊伍、自動隊伍、以及完全開放。	Change the Team Mode between Player Set Teams, Auto Teams, and Free for All.	different
4536	選擇名稱	Option name	different
4537	遊戲選項	Game Options	different
4538	4790 No Key	4790 No Key	same
4539	送出	Send	different
4540	聊天區	Chat Area	different
4541	地圖清單	Map List	different
4542	4764	4764	same
4543	更改遊戲選項並由上面的顯示設定勝利條件。	Change game options and set win conditions displayed above.	different
4544	選擇名稱	Option name	different
4545	選擇名稱	Option name	different
4546	選擇名稱	Option name	different
4547	選擇名稱	Option name	different
4548	選擇名稱	Option name	different
4549	選擇名稱	Option name	different
4550	選擇名稱	Option name	different
4551	遊戲選項	GAME OPTIONS	different
4552	關閉	Close	different
4553	重設	Reset	different
4554	條件名稱	condition name	different
4555	勝利條件	Game rules	different
4556	區域網路遊戲設定	LAN GAME SETUP	different
4557	輸入你的聊天訊息。	Enter your chat message.	different
4558	設為主機 / 加入	Host/Join	different
4559	回到設為主機 / 加入選單。	Back to the Host/Join Menu.	different
4560	回到多人模式選單。	Back to the LAN Join Game Menu.	different
4561	更改選定的地圖。	Change the selected map.	different
4562	接受選定的地圖。	Accept the selected map.	different
4563	開始遊戲。	Start the game.	different
4564	傳送你的訊息。	Send your message.	different
4565	按一下遊戲選項按鈕以更改你的遊戲選項，並設定勝利條件。	These are the currently set game options and win conditions for this game.	different
4566	遊戲選項	Game Options	different
4567	關閉視窗並接受這些設定。	Close the window and accept these settings.	different
4568	回復遊戲選項和勝利條件的原始設定。	Set the game options and win conditions back to default.	different
4569	更改隊伍數。	Change the team number.	different
4570	更改玩家類型。	Change the player type.	different
4571	更改你要使用的種族。	Change the race you want to use.	different
4572	更改你的隊伍顏色。	Change your team color.	different
4573	把玩家踢出遊戲。	Kick the player out of the game.	different
4574	當按鍵顯示選取方塊，表示此玩家準備進入遊戲。	When button displays a checkmark, this player is ready to play.	different
4575	移至「小隊噴漆圖案」選擇隊伍顏色。	Go to the Army Painter and customize your team colors.	different
4576	2	2	same
4577	切換小組顏色 開 / 關。如果選擇 [關] ，你的對手會套用預設的隊伍顏色，這將會減少載入時間。	Toggle team color ON/OFF. If OFF your opponent will be assigned a default team color, this will decrease loading times.	different
4578	4	4	same
4579	3	3	same
4580	將自動隊伍數量設為二。	Set the auto team number to two.	different
4581	將自動隊伍數量設為三。	Set the auto team number to three.	different
4582	將自動隊伍數量設為四。	Set the auto team number to four.	different
4583	隨機	Random	different
4591	預備	Ready	different
4592	選擇名稱	Option name	different
4593	選擇名稱	Option name	different
4594	選項名稱	Option name	different
5000	取消	Cancel	different
5001	確定!	Accept!	different
5002	輸入密碼	ENTER PASSWORD	different
5003	遊戲名稱：	Game Name:	different
5004	密碼：	Password:	different
5005	輸入遊戲名稱。	Type a game name.	different
5006	輸入密碼。	Type a password.	different
5007	確定遊戲名稱和密碼。	Accept this game name and password.	different
5008	回到上一個畫面。	Return to the previous screen.	different
5250	按一下 [確定] 接受。	Click OK to accept.	different
5251	按一下 [是] 接受。	Click Yes to accept.	different
5252	按一下 [否] 忽略。	Click No to disregard.	different
5253	按一下 [取消] 回到上一個畫面。	Click Cancel to return to the previous screen.	different
5256	標題	TITLE	different
5257	訊息	message	different
5258	是	Yes	different
5259	取消	Cancel	different
5260	確定	Ok	different
5261	否	No	different
5500	多疑的心靈是健全的心靈。	A suspicious mind is a healthy mind.	different
5501	玩家名稱	Player Name	different
5502	帝國	IMPERIAL	different
5503	防衛軍	GUARD	different
5504	詳細資訊	INFORMATION	different
5505	關閉數據視窗。	Close the stats window.	different
5506	玩家名稱。	Player name.	different
5507	這是文字大小：	This is the text size:	different
5508	12345	12345	same
5514	關閉	Close	different
6250	請輸入您 破曉之戰 的暱稱與密碼 以進入連線遊戲	Enter your Dawn of War unique nickname and password to connect to the online game.	different
6251	"如果你尚未在破曉之戰註冊專用暱稱,請按 ""製作檔案""."	"If you haven't registered a unique nickname for Dawn of War yet, click ""Create Profile""."	different
6252	注意：密碼要區分大小寫。	Note: Passwords are case sensitive.	different
6253	令帝皇的旨意成為你的火炬，破除眼前的陰影。	Carry the Emperors will as your torch, with it destroy the shadows.	different
6254	登入 GameSpy	GameSpy Login	different
6266	登入 GameSpy。	Login to GameSpy.	different
